Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Hikma Clinic,Bad,25.68149,56.078965,Ras Al Khaimah,161,33755,33335,36083,35015,36291,39178,Endocrinology (Hormonal disorders); Internal Medicine; Oncology (Cancer treatment); Physiotherapy and Rehabilitation; Anesthesiology; Intensive Care Unit (ICU); Nephrology (Kidney care); Pulmonology (Respiratory care); Pathology and Laboratory Services; General Surgery; Emergency Medicine,101.36,101.11,108.29,109.91,118.27,117.05,82.84,124.59,111.78,141.42,95.16,111.75,2291,2415,2963,3343,2939,3020,577,39813,18646,21167,Well-managed,Lack of privacy; Arrogant; Overpriced; Untrustworthy
Al Mustashfa Hayat Medical Center,Very Bad,24.218848,55.386221,Abu Dhabi,320,87309,90603,99262,91169,85830,85491,Oncology (Cancer treatment); Dermatology; Nephrology (Kidney care); Neurology; Urology; Gastroenterology (Digestive system); Internal Medicine; Intensive Care Unit (ICU),36.86,39.42,41.88,45.33,48.69,50.89,50.02,37.91,34.5,43.32,71.75,42.71,2852,2857,3374,3322,3500,4169,742,45262,31265,13997,Clean rooms,Outdated equipment; Mismanaged; Insensitive
Hayat Clinic,Bad,23.909807,54.27144,Abu Dhabi,389,60221,68044,75060,80895,73603,68609,"Orthopedics; Physiotherapy and Rehabilitation; Intensive Care Unit (ICU); Obstetrics and Gynecology (OB/GYN); Infectious Diseases; Dental and Oral Surgery; Ophthalmology (Eye care); Nephrology (Kidney care); Ear, Nose, and Throat (ENT) / Otolaryngology; Gastroenterology (Digestive system); Anesthesiology; Neurology; Internal Medicine; Oncology (Cancer treatment); Emergency Medicine",168.47,182.89,179.19,186.5,194.8,200.57,149.98,158.56,267.86,200.16,210.93,257.19,199,216,197,208,193,184,847,26257,9234,17023,Knowledgeable; Good communication,Unorganized; Outdated equipment; Mismanaged; Disorganized
General Clinic National,Very Bad,25.441874,56.262385,Fujairah,60,39689,42329,46261,44194,50728,51250,Infectious Diseases; Pathology and Laboratory Services; Oncology (Cancer treatment); Urology; Orthopedics; Pediatrics; Dermatology; General Surgery; Nephrology (Kidney care),142.12,146.4,143.24,137.96,137.12,148.89,127.78,179.13,137.92,167.94,188.29,148.25,4140,5154,4764,5189,5983,6039,28,1260,534,726,Comforting,Outdated equipment; Long wait; Cold attitude; Incompetent; Lack of care
Markaz Salam,Bad,24.962065,55.272998,Dubai,617,68997,78476,87885,90882,100403,110356,"Endocrinology (Hormonal disorders); Pediatrics; Oncology (Cancer treatment); Intensive Care Unit (ICU); Physiotherapy and Rehabilitation; Ophthalmology (Eye care); Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology",71.02,76.42,80.51,81.54,83.12,79.54,105.96,108.32,83.57,67.23,83.83,106.36,1301,1380,1695,2050,2295,2338,698,46766,19487,27279,Compassionate; Organized,Understaffed; Slow; Ignored; Arrogant; Mismanaged
Al Amal Hilal International,Very Good,23.511303,52.135719,Abu Dhabi,122,18604,19607,21999,23150,24745,24759,"General Surgery; Cardiology; Pediatrics; Dental and Oral Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Neurology; Radiology; Endocrinology (Hormonal disorders); Pathology and Laboratory Services; Internal Medicine; Urology; Infectious Diseases; Psychiatry and Mental Health",161.62,160.41,156.71,156.16,169.52,168.01,144.51,190.79,229.37,231.95,176.38,201.55,2217,2477,2187,2469,3039,2828,863,50917,35036,15881,Trustworthy; Quick response,Chaotic; Painful; Disorganized; Poor hygiene
Rahma Emirates Lil Tibb,Good,25.459211,55.883984,Sharjah,141,65690,59895,68394,72840,83242,88871,"Nephrology (Kidney care); Dental and Oral Surgery; Pediatrics; Ear, Nose, and Throat (ENT) / Otolaryngology; Anesthesiology; Dermatology; Emergency Medicine; Ophthalmology (Eye care); General Surgery; Pulmonology (Respiratory care); Internal Medicine; Endocrinology (Hormonal disorders)",18.24,17.93,19.45,20.3,20.55,20.43,21.27,20.11,20.46,17.34,23.27,21.94,748,651,662,790,675,840,791,30849,11283,19566,Attentive; Positive experience,Lack of privacy; Unavailable doctors; Mismanaged; No explanation; Painful
Ilaj Diagnostic Center,Very Bad,25.528614,55.54887,Umm Al Quwain,368,76118,76472,76514,78841,88287,96726,Orthopedics; Emergency Medicine; Nephrology (Kidney care); Pulmonology (Respiratory care); Oncology (Cancer treatment); Gastroenterology (Digestive system); Infectious Diseases; Cardiology; Pediatrics; Dermatology; Psychiatry and Mental Health; Pathology and Laboratory Services; Radiology; Intensive Care Unit (ICU),189.14,193.15,197.73,210.88,229.74,223.04,277.04,275.55,164.37,237.16,305.57,288.3,1470,1709,1654,1550,1690,1867,712,33464,7232,26232,Comforting; Knowledgeable,Incompetent; Rude; Confusing; Unsafe
Amal Hilal International,Good,25.401156,55.43978,Ajman,62,21322,19924,22742,21717,24478,22971,Pediatrics; Anesthesiology; Endocrinology (Hormonal disorders); Urology; Oncology (Cancer treatment); Internal Medicine,65.95,64.33,61.2,62.56,64.62,63.75,74.64,51.78,59.13,59.77,93.57,86.04,2151,2181,2013,1979,2158,2255,569,49503,38361,11142,Comforting; Timely care; Well-managed,Miscommunication; Crowded
Markaz Saada,Acceptable,25.203119,56.119429,Fujairah,128,77803,82734,92278,100993,114946,104059,Dermatology; Orthopedics; Cardiology; Pulmonology (Respiratory care); Infectious Diseases; Pediatrics,189.02,180.08,192.96,187.21,202.03,209.44,247.92,202.04,181.81,169.05,264.4,174.26,4603,4869,5519,4791,5943,6691,834,2502,1891,611,Compassionate; Organized; Courteous; Painless; Caring,Outdated equipment; No empathy; Arrogant; Hidden charges; Long wait
Afia Specialist Hospital,Good,25.05302,56.183105,Fujairah,501,87652,82781,92862,86114,88391,99157,"Pathology and Laboratory Services; Ear, Nose, and Throat (ENT) / Otolaryngology; Psychiatry and Mental Health; Cardiology; Nephrology (Kidney care); Internal Medicine; Endocrinology (Hormonal disorders); General Surgery",118.23,122.28,118.23,120.94,118.58,122.56,144.66,145,153.01,104.71,172.22,161.74,719,857,854,1044,1063,1007,527,50065,32097,17968,Recommended; Supportive; Professional,Unprofessional
Shifa Medical Center,Very Good,25.490722,55.682901,Umm Al Quwain,706,5330,5413,4938,5103,4807,4755,Pulmonology (Respiratory care); Internal Medicine; Ophthalmology (Eye care); Dermatology; General Surgery,129.13,127.5,136.67,130.61,131.11,125.04,184.16,177.32,193.15,179.99,190.14,145.51,188,220,255,220,203,244,411,36168,10241,25927,Clean rooms; Well-managed; Helpful; Courteous; Professional,Mismanaged
Ilaj Medical Center,Good,25.459091,56.182033,Fujairah,877,45396,52189,47101,51418,50123,53271,"Gastroenterology (Digestive system); Obstetrics and Gynecology (OB/GYN); Urology; Orthopedics; Anesthesiology; Emergency Medicine; Ophthalmology (Eye care); Pulmonology (Respiratory care); Physiotherapy and Rehabilitation; Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Pediatrics; Infectious Diseases",154.01,149.83,147.7,143.38,137.56,131.4,149.66,167.74,168.17,197.83,197.66,147.32,2756,2394,2433,2511,3117,3339,759,71346,22123,49223,Professionalism; Compassionate,Unorganized; Poor service; Dirty; Long wait
Al Wahat Amal Dowaly,Good,25.17168,55.694691,Sharjah,561,76112,74768,81856,79580,77594,84399,Urology; Dermatology; Psychiatry and Mental Health; Endocrinology (Hormonal disorders); Cardiology; Emergency Medicine,154.23,148.55,152.39,158.93,173.49,166.58,197.23,166.22,189.89,151.63,201.97,196.27,3867,3397,2976,2777,3136,3339,42,3234,1840,1394,Professional; Quick response; Satisfied; Courteous; Seamless process,Painful
Al Ilaj Diagnostic Center,Very Good,25.268787,55.471809,Sharjah,159,37493,37391,40104,43876,41845,42042,Internal Medicine; Dental and Oral Surgery; Neurology; Obstetrics and Gynecology (OB/GYN); Psychiatry and Mental Health; Endocrinology (Hormonal disorders); Ophthalmology (Eye care); Pulmonology (Respiratory care),50.44,49.73,47.75,49.21,53.1,56.21,52.32,73.07,46.42,47.04,43.17,79.97,2069,2493,2940,3185,2760,2794,228,21660,6159,15501,Gentle; Thorough,Bad experience
Hayat Noor,Acceptable,23.334131,54.989946,Abu Dhabi,473,16127,14670,16424,16977,18083,18606,"Psychiatry and Mental Health; Radiology; Cardiology; Pulmonology (Respiratory care); Infectious Diseases; Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology",185.17,185.78,186.43,179.45,184.66,189.18,203.88,192.18,254.98,208.73,179.75,212.21,1203,1489,1688,1775,2110,2131,166,664,367,297,Reassuring; Human touch; Skilled,Crowded; Long wait; Dirty
Ilaj Clinic,Very Bad,25.300517,56.13061,Fujairah,920,68529,73629,70249,65985,71209,81218,"Endocrinology (Hormonal disorders); Dental and Oral Surgery; Obstetrics and Gynecology (OB/GYN); Infectious Diseases; Orthopedics; General Surgery; Radiology; Anesthesiology; Nephrology (Kidney care); Ear, Nose, and Throat (ENT) / Otolaryngology; Physiotherapy and Rehabilitation; Gastroenterology (Digestive system); Intensive Care Unit (ICU)",189.2,207.76,218.72,214.51,229.11,228.82,217.55,283.7,311.46,264.11,190.14,253.17,3543,4303,4356,4255,4773,4959,982,6874,2573,4301,Follow-up care,No empathy; Hidden charges; Bad experience; Poor follow-up; Unsafe
Rahma Specialist Hospital,Good,23.012175,54.607255,Abu Dhabi,841,46937,47332,47495,49776,47023,51111,Urology; Dental and Oral Surgery; Infectious Diseases; Ophthalmology (Eye care); Emergency Medicine; Neurology; Internal Medicine; Radiology,127.43,133.26,130.7,127.91,122.58,119.09,103.39,168.01,177.03,179.14,104.14,143.46,629,674,784,793,927,1014,376,31208,7821,23387,Courteous; Gentle,Not responsive; Unorganized
Shifa Arabi,Acceptable,25.488333,56.245067,Fujairah,386,97537,94558,106536,98818,110759,115023,"Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Endocrinology (Hormonal disorders); Radiology; Emergency Medicine; Pathology and Laboratory Services",1.24,1.32,1.42,1.38,1.49,1.56,1.82,1.58,2.06,1.42,1.37,1.71,3787,3317,3031,3528,3079,2871,97,3007,643,2364,Friendly; Comforting; Clean; Recommended; Thorough,Mismanaged; No explanation; Disorganized; Bad experience; Negligent
Al Ilaj Mustaqbal,Good,23.233127,53.930572,Abu Dhabi,506,32677,30586,29173,30727,34036,31863,Urology; Physiotherapy and Rehabilitation; Dermatology; Obstetrics and Gynecology (OB/GYN); Pulmonology (Respiratory care); Pathology and Laboratory Services,132.17,133.11,138.02,132.3,139.55,145.82,193.28,138.07,143.96,195.41,135.92,130.18,954,820,901,1013,1092,1020,829,8290,6509,1781,Comforting; Professionalism; Caring,Unprofessional
Hikma Medical Center,Bad,25.094276,56.111483,Fujairah,35,19531,17783,17662,18701,18057,16412,Oncology (Cancer treatment); General Surgery; Pulmonology (Respiratory care); Internal Medicine; Dental and Oral Surgery; Physiotherapy and Rehabilitation; Urology; Emergency Medicine; Intensive Care Unit (ICU); Anesthesiology; Radiology; Neurology; Pediatrics; Obstetrics and Gynecology (OB/GYN); Dermatology,16.88,17.18,16.76,16.53,16.26,16.47,17.25,25.62,20.18,17.52,24.12,19.1,658,592,548,576,693,659,354,3894,1085,2809,Prompt attention,Frustrating; Cold attitude; No empathy; Unorganized; Long wait
Hikma Clinic,Acceptable,24.965008,55.068678,Dubai,192,75964,84931,96246,96082,100129,107446,"Ear, Nose, and Throat (ENT) / Otolaryngology; Ophthalmology (Eye care); Cardiology; Psychiatry and Mental Health; Emergency Medicine; Oncology (Cancer treatment); Intensive Care Unit (ICU); General Surgery; Pathology and Laboratory Services; Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Dental and Oral Surgery; Radiology; Orthopedics",154.49,159.98,172.93,184.74,179.06,181.03,209.84,207.74,202.66,211.67,145.42,185.65,1825,2100,2351,2217,2235,2050,945,945,304,641,Friendly; Great staff; Skilled; Caring; Gentle,Poor hygiene; Ignored; Noisy
Ilaj Arabi Lil Tibb,Bad,25.05346,56.212791,Fujairah,515,46029,43987,42688,46345,44673,45235,"Dermatology; Intensive Care Unit (ICU); Dental and Oral Surgery; Emergency Medicine; Oncology (Cancer treatment); General Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Gastroenterology (Digestive system); Nephrology (Kidney care); Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN)",177.69,184.6,193.17,210.42,214.46,225.12,179.22,191.55,191.65,279.99,236.85,226.4,1594,1356,1431,1376,1170,1363,163,10921,8136,2785,Kind,Negligent; Indifferent
Al Ein Hayat Medical Center,Bad,23.049283,52.953563,Abu Dhabi,168,49403,48267,50541,47465,43637,40213,"Pulmonology (Respiratory care); Infectious Diseases; Ear, Nose, and Throat (ENT) / Otolaryngology; Neurology; Anesthesiology; Pathology and Laboratory Services; Psychiatry and Mental Health; Radiology; Ophthalmology (Eye care); Dermatology; General Surgery; Orthopedics; Physiotherapy and Rehabilitation",31.39,31.47,34.27,37.16,40.13,43.2,40.02,34.95,49.86,46.22,58.7,39.97,2037,1768,1641,1426,1645,1714,499,19960,15161,4799,Trustworthy,Overpriced; No communication
Shifa Polyclinic,Bad,25.295407,55.696228,Sharjah,138,27182,30128,27997,28691,29773,31429,"Orthopedics; Ear, Nose, and Throat (ENT) / Otolaryngology; Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Pulmonology (Respiratory care); Ophthalmology (Eye care); Gastroenterology (Digestive system); Neurology; Infectious Diseases; Internal Medicine; Endocrinology (Hormonal disorders); Anesthesiology; Dental and Oral Surgery; Nephrology (Kidney care)",116.07,125.77,126.26,131.73,133.52,133.23,140.68,173.85,181.35,131.76,191.82,125.18,884,1007,1011,1082,1232,1266,55,3905,1300,2605,Patient,No explanation; Disorganized; Confusing; Unsafe
Salam Specialist Hospital,Acceptable,25.369425,55.418106,Sharjah,987,8585,7892,7321,7756,8426,7795,"Gastroenterology (Digestive system); Psychiatry and Mental Health; Dental and Oral Surgery; Radiology; Orthopedics; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Neurology; General Surgery; Dermatology; Internal Medicine; Oncology (Cancer treatment); Physiotherapy and Rehabilitation; Pathology and Laboratory Services; Anesthesiology",182.45,182.49,198.14,211.37,217.96,238.34,183.16,234.55,251.97,224.04,307.17,340.6,322,334,352,338,308,333,338,3380,1130,2250,Satisfied; Knowledgeable; Professionalism; Helpful,Disorganized; Unavailable doctors; No empathy; Slow
General Hospital National,Very Bad,24.895897,55.134401,Dubai,658,72360,70623,68224,66879,63694,67330,Ophthalmology (Eye care); Oncology (Cancer treatment); General Surgery; Dental and Oral Surgery; Pulmonology (Respiratory care); Pediatrics; Emergency Medicine; Intensive Care Unit (ICU); Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Gastroenterology (Digestive system); Infectious Diseases,43.81,43.96,43.85,47.81,48.14,51.57,53.5,53.96,47.05,44.66,49.59,55.28,3524,3883,4632,5161,4531,5146,797,64557,17676,46881,Respect; Reassuring; Calm; Supportive,Miscommunication; Not responsive; Poor follow-up
Mustashfa Saada Mustaqbal,Very Bad,25.509574,55.687313,Umm Al Quwain,709,5994,5499,5720,6024,6019,5447,"Anesthesiology; Pathology and Laboratory Services; Gastroenterology (Digestive system); Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; Obstetrics and Gynecology (OB/GYN); Ophthalmology (Eye care); Dermatology; Emergency Medicine; Pediatrics; Urology; Psychiatry and Mental Health; Neurology; Nephrology (Kidney care); Internal Medicine",124.4,127.62,134.46,133.82,141.54,144.05,107.72,111.07,162.12,121.01,209.58,157.86,26,23,25,25,26,23,130,8970,3911,5059,Excellent,Stressed; Poor service; Indifferent
Dental Care Emirates,Good,25.542644,55.737699,Umm Al Quwain,358,81003,75759,83128,87248,86141,92507,Emergency Medicine; Physiotherapy and Rehabilitation; Nephrology (Kidney care); Dermatology; Obstetrics and Gynecology (OB/GYN),123.83,127.04,131.68,142.03,147.05,149.86,102.35,150.42,152,126.66,183.26,212.2,4164,5107,6201,7390,8463,9278,270,25380,5236,20144,Respectful; Organized; Timely care,Arrogant; Long wait; Not recommended; Frustrating
Rahma Clinic,Acceptable,25.423015,55.563484,Sharjah,604,46269,44074,40664,38770,39704,35941,Dermatology; Infectious Diseases; Nephrology (Kidney care); Ophthalmology (Eye care); Internal Medicine; Neurology,84.01,90.04,97.08,98.38,103.97,106.4,96.11,124.46,84.67,134.5,104.71,150.46,2278,2278,2251,2804,2787,3094,764,49660,29418,20242,Modern; Caring; Painless; Well-managed; Human touch,Mismanaged; Unprofessional; Painful; Bad experience; Outdated equipment
Hayat Noor Takhassusi,Very Good,25.489572,55.738851,Sharjah,489,73335,72439,81320,82451,85063,91882,"Ear, Nose, and Throat (ENT) / Otolaryngology; Anesthesiology; Pathology and Laboratory Services; Dermatology; Obstetrics and Gynecology (OB/GYN); Emergency Medicine; Gastroenterology (Digestive system); Nephrology (Kidney care); General Surgery; Dental and Oral Surgery; Endocrinology (Hormonal disorders)",95.33,94.99,95.32,97.75,97.21,101.4,84.74,99.77,93.57,89.03,123.89,123.91,4,4,3,3,3,2,527,25823,5904,19919,Seamless process; Safe; Caring,Inconsiderate
Rahma Diagnostic Center,Bad,25.300155,56.221539,Fujairah,228,34757,35137,35531,33230,34319,35292,"Neurology; Ophthalmology (Eye care); Infectious Diseases; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Obstetrics and Gynecology (OB/GYN); Orthopedics; Anesthesiology; Emergency Medicine; Physiotherapy and Rehabilitation; Urology; Dermatology; Nephrology (Kidney care); Radiology; Endocrinology (Hormonal disorders)",129.58,128.52,133.76,144.54,151.26,150.24,132.67,129.23,129.1,146.43,214.48,167.98,2398,2204,1971,1842,1900,1772,196,5880,1508,4372,Helpful,Poor hygiene; Unorganized; Inattentive; Chaotic
Ein Afia Jadeed,Good,25.02474,55.333064,Sharjah,35,39562,39437,43955,46927,42386,43966,"Dermatology; Ophthalmology (Eye care); Pediatrics; Emergency Medicine; General Surgery; Infectious Diseases; Psychiatry and Mental Health; Intensive Care Unit (ICU); Pathology and Laboratory Services; Oncology (Cancer treatment); Anesthesiology; Gastroenterology (Digestive system); Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Orthopedics",87.5,86.02,91.2,96.25,92.56,101.33,76.06,72.99,94.51,141.25,75.46,146.38,516,586,729,765,838,767,791,35595,15508,20087,Clean rooms; Calm; Helpful; Timely care,Slow
Al Amal Specialist Hospital,Good,25.079901,55.336244,Sharjah,359,6082,6670,7264,8157,8789,10099,"Obstetrics and Gynecology (OB/GYN); Infectious Diseases; Nephrology (Kidney care); Gastroenterology (Digestive system); Ear, Nose, and Throat (ENT) / Otolaryngology; Neurology; Psychiatry and Mental Health",76.86,75.7,77.65,83.93,89.88,92.33,109.61,85.02,94.29,87.43,104.87,100.57,391,451,479,495,502,481,579,7527,3316,4211,Gentle; Helpful,Overpriced
Amal Medical Center,Very Good,25.17188,56.242178,Fujairah,526,42076,42320,45384,48804,53105,54715,Anesthesiology; Radiology; Dermatology; Urology; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Cardiology; Nephrology (Kidney care); Dental and Oral Surgery; Internal Medicine; Gastroenterology (Digestive system); Pathology and Laboratory Services; General Surgery,109.77,106.01,115.08,117.31,113.48,119.88,138.28,157.15,119.9,171.92,165.2,97.89,1551,1345,1160,1205,1498,1834,27,1917,1420,497,Supportive; Professionalism; Clean rooms,Overcrowded; Poor hygiene
